trait_armor, 2
trait_melee, 2
initiate_test_intellect_0, 2
uses_type_keys, 2
cost_free_discard_self, 2
soak_benefit_damage, 2
aoe_damage, 2
chaos_modifier, 2
discover_clue_your_location_2, 2
timing_fast_after_evaded, 2
to_hand_from_discard, 2
testless_evade, 2
timing_fast_would_fail, 2
shroud_reduction, 2
stat_combine_intellect_agility, 2
succeed_by_4, 2
trait_tarot, 2
initiate_test_intellect_x, 2
discount_3, 2
discount_1, 2
discard_card_choose, 2
difficulty_decrease_evade_2, 2
your_location_another_investigator, 2
boost_combat_x, 2
bold_engage, 2
timing_reaction_after_enemy_engages, 1
spend_ammo, 1
stat_base_combat_4, 1
stat_base_intellect_4, 1
engage_with_another, 1
aoe_engage, 1
give_asset, 1
give_resource, 1
take_asset, 1
take_resource, 1
hand_size_increase, 1
discover_clue_connecting_location_1, 1
discard_card_random, 1
initiate_test_willpower_2, 1
timing_fast_spawn_your_location, 1
difficulty_increase, 1
effect_increase, 1
limit_per_test_3, 1
no_resource, 1
move_enemy_displace, 1
tank_horror, 1
when_defeated, 1
engage_none, 1
uses_add_supply, 1
between_scenarios, 1
to_play_from_deck, 1
bold_resign, 1
scenario_card, 1
current_clue_zero, 1
duration_enemy_phase, 1
hand_check_more, 1
timing_reaction_turn_begins, 1
chaos_reveal_before_effect, 1
limit_per_test_1, 1
difficulty_check_higher_2, 1
enemy_value_horror, 1
difficulty_decrease_fight, 1
enemy_value_fight, 1
initiate_test_intellect, 1
take_action_now, 1
chaos_reveal_another_instead, 1
cost_reaction_spend_resource, 1
bottom_of_deck, 1
card_range_1, 1
phase_upkeep, 1
skill_another_investigator, 1
skill_gains_willpower_wild, 1
stat_base_combat_6, 1
stat_base_agility_6, 1
additional_action_3, 1
doom_remove, 1
your_location_skill_test, 1
auto_success, 1
timing_skill_chaos_reveal_after, 1
difficulty_decrease, 1
cancel_encounter_draw, 1
timing_reaction_draw_encounter, 1
discover_clue_remote, 1
shroud_dependent, 1
timing_fast_after_phase_end, 1
cancel_encounter_effect, 1
phase_mythos_end, 1
stat_base_6, 1
initiate_test_agility_1, 1
gain_resource_6, 1
gain_resource_9, 1
uses_type_durability, 1
trait_hazard, 1
trait_fortune, 1
trait_charm, 1
trait_favor, 1
trait_creature, 1
uses_type_bounties, 1
max_per_game_2, 1
boost_intellect_5, 1
trait_practiced, 1
initiate_test_willpower_x, 1
initiate_test_combat_1, 1
uses_type_evidence, 1
uses_type_time, 1
trait_clothing, 1
uses_type_aether, 1
enemy_cannot_attack, 1
to_deck_from_play, 1
timing_reaction_after_play, 1
timing_reaction_enemy_deal_damage, 1
connecting_location_enemy, 1
additional_action_2, 1
timing_fast_taking_turn, 1
cost_free_damage_self, 1
damage_plus_4, 1
fail_by, 1
location_clue_zero, 1
cost_reaction_discard_self, 1
enemy_manage_discard, 1
timing_reaction_spawn_your_location, 1
instead_of_clue, 1
timing_reaction_after_evade, 1
stat_use_agility, 1
timing_fast_chaos_reveal_after, 1
uses_manip_secret_to_resource, 1
enters_play, 1
additional_slot_arcane, 1
trait_spell_asset, 1
chaos_ignore, 1
chaos_resolve_choose, 1
chaos_reveal_more_instead, 1
timing_reaction_chaos_reveal_would, 1
enemy_manage_shuffle, 1
timing_reaction_after_investigate_success, 1
shroud_minus_2, 1
chaos_do_not_reveal, 1
heal_both, 1
discover_clue_connecting_location, 1
discover_clue_your_location, 1
discount_2, 1
immediately_play, 1
spend_secret, 1
once_per_turn, 1
cancel_chaos, 1
chaos_treat_as_elder_sign, 1
timing_fast_chaos_reveal_when, 1
exhausted_enemy, 1
timing_fast_after_fail, 1
initiate_test_intellect_3, 1
uses_type_tries, 1
uses_starting_8, 1
uses_starting_7, 1
damage_token_manipulation, 1
commit_remote, 1
target_any_event, 1
uses_support_charge, 1
uses_manip_charge_to_resource, 1
timing_fast_after_draw_encounter, 1
encounter_redirect, 1
encounter_revelation, 1
target_any_asset, 1
timing_reaction_after_move, 1
duration_next_skill_test_this_phase, 1
cost_action_discard_from_hand, 1
card_range_6, 1
disengage_without_exhaust, 1
enemy_cannot_engage, 1
to_play_from_hand, 1
at_end_of_turn, 1
timing_fast_when_would_succeed, 1
timing_fast_during_skill_test, 1
gain_aloof, 1
at_end_of_enemy_phase, 1
ready_enemy, 1
timing_skill_successful, 1
class_survivor, 1
tank_attack, 1
timing_fast_during_any_turn, 1
current_sanity_more, 1
difficulty_decrease_fight_2, 1
gain_retaliate, 1
doom_check, 1
engage_related, 1
duration_next, 1
clue_drop, 1
boost_agility_x, 1
current_horror_more, 1
retaliate_ignore, 1
discard_treachery, 1
additional_clue, 1
to_deck_from_discard, 1
hand_check_less, 1
timing_forced_enters_location, 1
exhaust_enemy, 1
enemy_manage_long_exhaust, 1
cost_action_spend_secret, 1
investigate_remote, 1
as_if_you_were_at_location, 1
move_remote, 1
trait_omen, 1
timing_forced_spawn_your_location, 1
shroud_minus_1, 1
investigate_asset_unlimited, 1
trait_innate, 1
discount_x, 1
cost_action_spend_resource, 1
initiate_test_agility_x, 1
initiate_test_combat_3, 1
initiate_test_agility_3, 1
trait_upgrade, 1
trait_miskatonic, 1
trait_geist, 1
uses_type_offerings, 1
trait_mask, 0
trait_science, 0
boost_intellect_6, 0
uses_starting_10, 0
initiate_test_agility_0, 0
trait_rot, 0
trait_blessed, 0
trait_cursed, 0
